# Time-averaged data for fix radial
# TimeStep Number-of-rows
# Row c_radialDist[1] c_radialDist[2] c_radialDist[3]
1000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.000131441 9.76563e-05
19 0.925 1.87836 1.55967
20 0.975 10.3758 11.1308
21 1.025 0.8514 11.9987
22 1.075 0.00113217 12
23 1.125 0 12
24 1.175 0 12
25 1.225 0 12
26 1.275 0.00315761 12.005
27 1.325 0.547729 12.938
28 1.375 2.33496 17.2212
29 1.425 0.393609 17.9967
30 1.475 0.00157296 18
31 1.525 0 18
32 1.575 0.000811514 18.002
33 1.625 0.698729 19.7921
34 1.675 6.29821 36.9362
35 1.725 1.74165 41.9644
36 1.775 0.0116609 42
37 1.825 0 42
38 1.875 0.098834 42.3371
39 1.925 2.03627 49.6579
40 1.975 1.12918 53.9312
41 2.025 0.0173054 54
42 2.075 0.00741081 54.031
43 2.125 0.996444 58.3964
44 2.175 3.66584 75.2211
45 2.225 0.576155 77.9884
46 2.275 0.00274222 78.0021
47 2.325 0.160829 78.8456
48 2.375 1.04731 84.577
49 2.425 0.247887 85.9912
50 2.475 0.0130965 86.069
